,NAME,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P004002,P013001,P013002,P013003,P015001,P017001,P031001,county,state,zip code tabulation area (or part)
130,"ZCTA5 35010, AlabamaClark County, Arkansas",43811.0,30240.0,11421.0,155.0,274.0,22.0,1169.0,530.0,41993.0,74.3,71.4,77.30000000000001,17259.0,4.74,9232.0,,0105,
131,"ZCTA5 35013, AlabamaClay County, Arkansas",16207.0,15779.0,59.0,42.0,24.0,1.0,100.0,202.0,15887.0,66.5,69.2,59.9,6879.0,5.98,3640.0,,0105,
132,"ZCTA5 35014, AlabamaCleburne County, Arkansas",30516.0,27390.0,2285.0,149.0,56.0,7.0,218.0,411.0,29959.0,87.6,85.30000000000001,90.19999999999999,12670.0,4.82,6048.0,,0105,
133,"ZCTA5 35016, AlabamaCleveland County, Arkansas",25467.0,23590.0,1086.0,150.0,96.0,9.0,237.0,299.0,25004.0,80.9,79.0,82.9,10263.0,4.97,6130.0,,0105,
134,"ZCTA5 35019, AlabamaColumbia County, Arkansas",26669.0,16710.0,9077.0,100.0,182.0,6.0,318.0,276.0,26083.0,77.1,75.1,78.80000000000001,10590.0,4.93,6089.0,,0105,
135,"ZCTA5 35020, AlabamaDesha County, Arkansas",40147.0,11305.0,26613.0,155.0,66.0,2.0,1659.0,347.0,37840.0,75.7,71.4,79.69999999999999,15816.0,4.96,10177.0,,0105,
136,"ZCTA5 35022, AlabamaCraighead County, Arkansas",115331.0,89640.0,19420.0,396.0,1199.0,29.0,2763.0,1884.0,110459.0,73.4,70.6,76.6,44669.0,5.0,28499.0,,0105,
137,"ZCTA5 35023, AlabamaCrawford County, Arkansas",87384.0,74115.0,6644.0,1467.0,988.0,28.0,2144.0,1998.0,83247.0,77.5,75.2,80.5,32883.0,5.140000000000001,21705.0,,0105,
138,"ZCTA5 35031, AlabamaCrittenden County, Arkansas",58835.0,30817.0,26076.0,184.0,320.0,28.0,744.0,666.0,57059.0,72.7,70.6,74.69999999999999,22067.0,5.25,16811.0,,0105,
139,"ZCTA5 35035, AlabamaCross County, Arkansas",19451.0,14778.0,4217.0,60.0,83.0,3.0,89.0,221.0,19170.0,78.4,76.8,80.0,7598.0,5.17,4869.0,,0105,
140,"ZCTA5 35032, AlabamaDallas County, Arkansas",8182.0,4523.0,3408.0,32.0,11.0,1.0,98.0,109.0,7991.0,70.7,76.9,70.7,3302.0,5.35,1933.0,,0105,
141,"ZCTA5 35033, AlabamaHempstead County, Arkansas",26012.0,16776.0,6659.0,97.0,90.0,20.0,1914.0,456.0,23276.0,79.30000000000001,79.19999999999999,79.6,10179.0,5.0600000000000005,6671.0,,0105,
142,"ZCTA5 35034, AlabamaDrew County, Arkansas",24050.0,15167.0,8195.0,47.0,98.0,8.0,294.0,241.0,23509.0,73.1,70.6,76.7,8702.0,5.04,5275.0,,0105,
143,"ZCTA5 35036, AlabamaFaulkner County, Arkansas",113534.0,95597.0,11678.0,658.0,1278.0,48.0,2000.0,2275.0,109099.0,61.9,64.0,61.599999999999994,42737.0,4.970000000000001,27836.0,,0105,
144,"ZCTA5 35040, AlabamaGarland County, Arkansas",110989.0,94219.0,10511.0,624.0,785.0,50.0,2315.0,2485.0,105605.0,77.3,75.0,79.3,46871.0,4.83,24000.0,,0105,
