,B06009_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B06010_001E,B06010_002E,B06010_004E,B06010_005E,B06010_006E,B06010_007E,B06010_008E,B06010_009E,B06010_010E,B06010_011E,B09010_001E,state
35,485490.0,37462.0,131653.0,176105.0,102497.0,37773.0,600828.0,44300.0,93410.0,46980.0,77453.0,76301.0,94482.0,63355.0,24157.0,80390.0,169855.0,38
36,7888150.0,805643.0,2646608.0,2287272.0,1341204.0,807423.0,9445755.0,1042083.0,1656931.0,833493.0,1384231.0,1131168.0,1218068.0,834560.0,348950.0,996271.0,2621821.0,39
37,2553488.0,318653.0,803755.0,796716.0,422888.0,211476.0,3096132.0,423044.0,525594.0,290781.0,464360.0,373296.0,390729.0,242378.0,97515.0,288435.0,953556.0,40
38,2797953.0,273693.0,655921.0,965412.0,561492.0,341435.0,3308259.0,378983.0,566748.0,293785.0,492027.0,381031.0,398349.0,277313.0,118768.0,401255.0,861443.0,41
39,8885953.0,898982.0,3161786.0,2151966.0,1621733.0,1051486.0,10579008.0,1211177.0,1779374.0,898583.0,1493815.0,1215842.0,1341548.0,952688.0,405533.0,1280448.0,2679307.0,42
40,729261.0,92361.0,203355.0,193149.0,144515.0,95881.0,883773.0,93765.0,150073.0,77698.0,116881.0,93711.0,109553.0,82139.0,37678.0,122275.0,209868.0,44
41,3325601.0,447476.0,978521.0,1001523.0,571099.0,326982.0,3987945.0,532998.0,682750.0,398966.0,618970.0,478187.0,486031.0,311056.0,118114.0,360873.0,1087655.0,45
42,560605.0,48034.0,170912.0,185545.0,109468.0,46646.0,677559.0,51815.0,117406.0,58254.0,99692.0,93955.0,108561.0,63467.0,21985.0,62424.0,209448.0,46
43,4478450.0,603524.0,1461364.0,1246789.0,738613.0,428160.0,5355966.0,704887.0,930656.0,534542.0,824827.0,634719.0,668256.0,411832.0,153706.0,492541.0,1494233.0,47
44,17454431.0,3005904.0,4372430.0,5065702.0,3288777.0,1721618.0,21394996.0,3560726.0,3382754.0,1781752.0,2928742.0,2257209.0,2385812.0,1754775.0,702314.0,2640912.0,7198406.0,48
45,1743090.0,143466.0,397812.0,634661.0,375297.0,191854.0,2226015.0,305960.0,407092.0,177808.0,290843.0,247323.0,266468.0,187945.0,80753.0,261823.0,908177.0,49
46,437900.0,33883.0,129511.0,113364.0,95590.0,65552.0,527332.0,39079.0,90335.0,48116.0,76638.0,65900.0,77291.0,51060.0,20165.0,58748.0,119245.0,50
47,5680765.0,623937.0,1378738.0,1544593.0,1220919.0,912578.0,6814328.0,830659.0,1043489.0,522306.0,850586.0,699521.0,817892.0,603473.0,263791.0,1182611.0,1862018.0,51
48,1293665.0,182074.0,524710.0,329460.0,155423.0,101998.0,1525411.0,209388.0,291818.0,151307.0,242480.0,177969.0,177409.0,112687.0,42655.0,119698.0,375177.0,54
49,4896055.0,448558.0,1101904.0,1658245.0,1064440.0,622908.0,5823118.0,706106.0,888257.0,430061.0,745472.0,624142.0,715819.0,532993.0,241837.0,938431.0,1612244.0,53
50,388617.0,28130.0,111594.0,144939.0,67798.0,36156.0,466777.0,41397.0,74349.0,39920.0,63764.0,56636.0,62005.0,47008.0,20145.0,61553.0,137772.0,56
51,3907816.0,323799.0,1222791.0,1226745.0,748413.0,386068.0,4693889.0,409859.0,746993.0,419576.0,686288.0,586015.0,686093.0,469950.0,188694.0,500421.0,1292149.0,55
